iter,v_fun_0,delta_q,norm_delta_q,acc_reward
0,0.0,0.0,0.0,0
10000,0.004290736635719219,0.0,114.84363715076847,116
20000,0.18438332182741257,-0.0023199899991639757,33.73606993514986,4556
30000,0.27340835545534414,-0.01392300592079578,24.194342021693473,9276
40000,0.27340835545534414,-0.007933282986172048,21.990449560674293,14275
50000,0.3748362594343343,-0.00773960445149349,20.557711694830644,19423
60000,0.3748362594343343,-0.003650369973017984,15.472664333140091,25158
70000,0.3748362594343343,-0.01605366717896642,15.625424278954743,30409
80000,0.5118217929434941,0.0007453158704307846,11.485471782422373,35886
90000,0.6111075055182097,-0.0029335643835879895,11.029646550603672,41548
100000,0.6813769458273169,-0.002485849388767313,11.871463993223239,46891
110000,0.6813769458273169,0.0009348073594301014,9.435039303789779,52605
120000,0.6813769458273169,-0.060117669200600486,12.915067468593737,58157
130000,0.7473763589058477,0.001112724253638004,9.767979342056362,63669
140000,0.821932960082442,0.0003504452391487534,10.23503003107778,69459
150000,0.821932960082442,-0.0008795955274060505,8.620539318858974,75090
160000,0.864534829329934,0.0019146009194274222,12.683026016216267,80508
170000,0.9258647275190138,0.0007446025616509171,7.006530815614311,86069
180000,0.9258647275190138,0.00029648914159045457,8.664386300326207,91523
190000,0.9917844855951508,-0.0067853527071384395,7.313165240595251,97193
200000,0.9917844855951508,-0.007938144438064119,5.998447794556308,102624
210000,0.9917844855951508,-0.0014654980829444792,5.721646836134829,108366
220000,0.9917844855951508,-3.380478437981665e-06,5.177873488514411,114227
230000,0.9917844855951508,0.0013047014565409757,6.1963736337426525,119941
240000,0.7799735939755915,0.0014329021403800667,6.081683347023937,125697
250000,0.8419961298727975,-0.011952966946946461,4.283302234701855,131243
260000,0.8938231721768868,0.00045867239864141656,10.346025059702301,137116
270000,0.8938231721768868,-0.0031053163128993704,7.7835379022336895,142633
280000,0.9505388978840628,0.0019258009458272833,5.245575044198432,148387
290000,0.9505388978840628,-0.0006647938261906349,8.481281355327859,153904
300000,0.9505388978840628,0.000261880244261966,6.664302348366572,159635
310000,0.9505388978840628,0.0017484853660962806,5.721806262999051,165164
320000,1.0047231152919938,0.00030176753752016324,5.461532772722494,170645
330000,2.7244296844771188,0.009566186944595954,6.135730776464914,176243
340000,2.7244296844771188,0.0011006835477413261,5.368190751236235,182217
350000,2.7173918382089224,0.0007031020053118809,6.268295539845445,187578
360000,2.6656542042229296,0.0008221973740178936,4.081910134621381,193455
370000,2.6830440291972137,-0.0054698699443508055,4.79157069550212,198994
380000,2.6830440291972137,-0.0013481162623037563,3.6409259619065923,204781
390000,2.6830440291972137,0.00022817138375147414,11.987590661788088,210332
400000,2.6830440291972137,-5.7741313517170614e-05,4.696233032230247,216135
