iter,v_fun_0,delta_q,norm_delta_q,acc_reward
320000,2.885940942501557,0.007247061494623088,4.723237631174143,-181039
330000,2.89095415798159,-0.006118775135655835,5.109293255087646,-187407
340000,2.8963896764446475,8.127698512397359e-05,4.431276865525043,-192400
350000,2.894755186320264,0.008646644010628105,4.674640047665198,-198225
360000,2.8979149999294256,-0.006275866083123809,4.411096112299505,-204122
370000,2.8939818424852763,0.0008687362780987399,4.269027695338841,-209622
380000,2.8958689448979307,-0.0019288565146524845,4.50123703717964,-215686
390000,2.902434523908714,0.04375592945109308,4.450190976533163,-221351
400000,2.9052388060776266,0.0012225314393194283,4.355287099988105,-227128
410000,2.9071009646061605,0.0015635062684045745,4.229964915346464,-232500
420000,2.9097591582237956,0.006486289512832045,3.937316929146952,-238235
430000,2.909094315510396,-0.13936260617763171,4.419525192213314,-244090
440000,2.9098437035316076,-0.001543192290763506,4.2160653441335505,-249950
450000,2.9122644873120285,0.0004379421401360039,3.7552848633908296,-255211
460000,2.9150894899579933,-0.0014910116207611014,3.4794266600490906,-260611
470000,2.9188942275612892,0.03689810532235741,3.579698137984053,-265981
480000,2.9216475386322402,0.0005492027789455647,3.740034830723196,-271051
490000,2.9190468522843527,0.03178280365380487,4.035903562952521,-277581
500000,2.923114251923891,0.0011577474657497278,3.571343697636817,-283242
510000,2.922910961153022,0.010271602689025223,3.587120093014322,-288910
520000,2.9270703958128093,0.049542927157666734,3.379683724292865,-294619
530000,2.9249364216477862,0.0022276212858670483,3.3393016631693007,-300231
540000,2.9256246425584966,-0.004226967157798094,3.1824843712383157,-305157
550000,2.923848999033478,0.002223093946332037,3.074787777912465,-309951
560000,2.9227274306430124,0.0006288741904338337,3.295816181063745,-314923
570000,2.921490800901582,0.004637980129310263,3.1970985329854433,-320455
580000,2.922789269848507,0.003892119205635583,3.283564864568635,-325517
590000,2.9239467859728805,0.001993468346100259,3.2776542843890555,-331320
600000,2.925389090799375,0.0011841133426960025,3.178988536564069,-337133
610000,2.928102803789863,0.02136523454860563,3.2965965395593186,-342400
620000,2.9260921758719713,0.039903798232489185,3.182036707148886,-347684
630000,2.9282835928706588,0.010168623424406225,2.8748198358616346,-352950
640000,2.9213815118267927,0.00010845250153270892,2.7099206488496543,-358208
650000,2.920559423814156,0.0016253185837384468,3.0026539015141007,-363412
660000,2.920559423814156,-0.0027615318355101075,2.974904497281918,-369346
