iter,v_fun_0
0,-50.0
1,-41.66666666666667
2,-40.95775462962963
3,-40.719786174339845
4,-40.64908949054427
5,-40.628104371270894
6,-40.621518816359966
7,-40.61949313650525
8,-40.618879244832335
9,-40.61869431507903
10,-40.618639036917045
11,-40.61862258147853
12,-40.61861769710295
13,-40.61861625012402
14,-40.61861582199856
