iter,v_fun_0
0,-50.0
1,-28.04
2,-21.144875
3,-15.18813854375
4,-10.534122581562492
5,-6.734809629193862
6,-3.5112594349669948
7,-0.8303498430648517
8,1.3788199087966788
9,3.2122730794391643
10,4.827037651396843
11,6.226183561397903
12,7.47117065928046
13,8.601844868630295
14,9.607350123515808
15,10.480138877472356
16,11.221906925436507
17,11.841674179396534
18,12.35262432602783
19,12.769616114785414
20,13.10749329639728
21,13.380052293356535
22,13.599500934662252
23,13.776254922361382
24,13.918951873991375
25,14.034594317955111
26,14.12875870984216
27,14.205827314333376
28,14.269214817477945
29,14.32157291170084
30,14.364964565131814
31,14.40100570871418
32,14.430976017156013
33,14.455902702389437
34,14.476622186293696
35,14.493824572054763
36,14.508085342977068
37,14.519887962853915
38,14.529640230999092
39,14.53768648118087
40,14.544317070803856
41,14.54977610606548
42,14.554267984952574
43,14.557963092997298
44,14.561002831391377
45,14.563504068275932
46,14.565563059970401
47,14.567258872326974
48,14.568656330704997
49,14.569808531795744
50,14.570758956535613
51,14.571543227913637
52,14.57219055952929
53,14.572724940230756
54,14.573166097520499
55,14.573530278324483
56,14.573830880848618
57,14.574078966153579
58,14.57428367317911
59,14.574452556507481
60,14.574591862308054
61,14.574706754691462
62,14.574801502096122
63,14.57487963126546
64,14.574944054769219
65,14.574997176786852
66,14.575040980928861
67,14.575077103149852
68,14.575106892251625
69,14.575131460039799
70,14.57515172285278
71,14.575168435901674
72,14.575182221629305
73,14.575193593103037
74,14.575202973293116
75,14.575210710949335
76,14.57521709367056
77,14.575222358661762
78,14.57522670158825
79,14.575230283864869
80,14.575233238659493
81,14.575235675839139
82,14.575237686047103
83,14.575239344064698
84,14.575240711584726
85,14.575241839499668
86,14.57524276979035
87,14.575243537084518
88,14.575244169943588
