iter,v_fun_0
0,-50.0
1,-45.92
2,-45.8003
3,-45.78128429375
4,-45.778593981125
5,-45.77823138118264
6,-45.77817887163723
7,-45.77817137883818
8,-45.778170316784774
9,-45.778170166519175
