episode,score,q_value,men_len
0,12.0,0.7390929410775076,12
1,9.0,0.7390929410775076,21
2,10.0,0.7390929410775076,31
3,9.0,0.7390929410775076,40
4,9.0,0.7390929410775076,49
5,10.0,0.7390929410775076,59
6,10.0,0.7390929410775076,69
7,9.0,0.7390929410775076,78
8,8.0,0.7390929410775076,86
9,10.0,0.7390929410775076,96
10,11.0,0.7390929410775076,107
11,10.0,0.7390929410775076,117
12,8.0,0.7390929410775076,125
13,8.0,0.7390929410775076,133
14,10.0,0.7390929410775076,143
15,12.0,0.7390929410775076,155
16,10.0,0.7390929410775076,165
17,12.0,0.7390929410775076,177
18,9.0,0.7390929410775076,186
19,10.0,0.7390929410775076,196
20,9.0,0.7390929410775076,205
21,9.0,0.7390929410775076,214
22,9.0,0.7390929410775076,223
23,10.0,0.7390929410775076,233
24,9.0,0.7390929410775076,242
25,10.0,0.7390929410775076,252
26,10.0,0.7390929410775076,262
27,11.0,0.7390929410775076,273
28,10.0,0.7390929410775076,283
29,10.0,0.7390929410775076,293
30,10.0,0.7390929410775076,303
31,10.0,0.7390929410775076,313
32,9.0,0.7390929410775076,322
33,9.0,0.7390929410775076,331
34,9.0,0.7390929410775076,340
35,10.0,0.7390929410775076,350
36,10.0,0.7390929410775076,360
37,10.0,0.7390929410775076,370
38,9.0,0.7390929410775076,379
39,10.0,0.7390929410775076,389
40,11.0,0.7390929410775076,400
41,11.0,0.7390929410775076,411
42,10.0,0.7390929410775076,421
43,9.0,0.7390929410775076,430
44,10.0,0.7390929410775076,440
45,11.0,0.7390929410775076,451
46,9.0,0.7390929410775076,460
47,10.0,0.7390929410775076,470
48,9.0,0.7390929410775076,479
49,10.0,0.7390929410775076,489
50,10.0,0.7390929410775076,499
51,10.0,0.7390929410775076,509
52,10.0,0.7390929410775076,519
53,10.0,0.7390929410775076,529
54,10.0,0.7390929410775076,539
55,10.0,0.7390929410775076,549
56,10.0,0.7390929410775076,559
57,9.0,0.7390929410775076,568
58,11.0,0.7390929410775076,579
59,10.0,0.7390929410775076,589
60,10.0,0.7390929410775076,599
61,10.0,0.7390929410775076,609
62,9.0,0.7390929410775076,618
63,8.0,0.7390929410775076,626
64,9.0,0.7390929410775076,635
65,9.0,0.7390929410775076,644
66,8.0,0.7390929410775076,652
67,10.0,0.7390929410775076,662
68,11.0,0.7390929410775076,673
69,10.0,0.7390929410775076,683
70,8.0,0.7390929410775076,691
71,10.0,0.7390929410775076,701
72,10.0,0.7390929410775076,711
73,8.0,0.7390929410775076,719
74,11.0,0.7390929410775076,730
75,8.0,0.7390929410775076,738
76,9.0,0.7390929410775076,747
77,10.0,0.7390929410775076,757
78,10.0,0.7390929410775076,767
79,8.0,0.7390929410775076,775
80,10.0,0.7390929410775076,785
81,9.0,0.7390929410775076,794
82,10.0,0.7390929410775076,804
83,9.0,0.7390929410775076,813
84,10.0,0.7390929410775076,823
85,9.0,0.7390929410775076,832
86,9.0,0.7390929410775076,841
87,10.0,0.7390929410775076,851
88,10.0,0.7390929410775076,861
89,9.0,0.7390929410775076,870
90,10.0,0.7390929410775076,880
91,8.0,0.7390929410775076,888
92,11.0,0.7390929410775076,899
93,11.0,0.7390929410775076,910
94,10.0,0.7390929410775076,920
95,10.0,0.7390929410775076,930
96,13.0,0.7390929410775076,943
97,9.0,0.7390929410775076,952
98,9.0,0.7390929410775076,961
99,9.0,0.7390929410775076,970
100,11.0,0.7390929410775076,981
101,10.0,0.7390929410775076,991
102,9.0,0.7390929410775076,1000
103,9.0,0.9018505084581673,1009
104,9.0,1.3638035789251328,1018
105,10.0,2.2108472669482233,1028
106,8.0,3.0475512798547744,1036
107,10.0,3.9616990784168244,1046
108,9.0,5.020334041619301,1055
109,10.0,5.966532065033912,1065
110,10.0,6.438241277348995,1075
111,9.0,6.928012611401081,1084
112,9.0,7.102545985209942,1093
113,10.0,7.51088573744297,1103
114,11.0,7.728042330622673,1114
115,10.0,7.737689672672748,1124
116,10.0,7.713031387007237,1134
117,9.0,7.784389844703674,1143
118,10.0,7.818616271030903,1153
119,11.0,7.864316522181034,1164
120,9.0,7.8567294532060625,1173
121,9.0,7.744825619375706,1182
122,9.0,7.6139282348036765,1191
123,8.0,7.541382678842544,1199
124,11.0,7.46426499158144,1210
125,10.0,7.491475981032848,1220
126,10.0,7.648581494474411,1230
127,9.0,7.707281856703759,1239
128,8.0,7.740985306406021,1247
129,9.0,7.725075360667706,1256
130,11.0,7.716100788390636,1267
131,9.0,7.821559261679649,1276
132,8.0,7.933732195484638,1284
133,10.0,7.919727171039582,1294
134,8.0,7.920863300335407,1302
135,8.0,7.828210912132263,1310
136,10.0,7.7697389999985695,1320
137,9.0,7.5966687390446666,1329
138,9.0,7.58440457611084,1338
139,8.0,7.566520256614685,1346
140,9.0,7.509645275259018,1355
