episode,score,q_value,men_len
0,10.0,0.07473664120447066,10
1,9.0,0.07473664120447066,19
2,25.0,0.07473664120447066,44
3,9.0,0.07473664120447066,53
4,10.0,0.07473664120447066,63
5,9.0,0.07473664120447066,72
6,9.0,0.07473664120447066,81
7,33.0,0.07473664120447066,114
8,10.0,0.07473664120447066,124
9,39.0,0.07473664120447066,163
10,31.0,0.07473664120447066,194
11,36.0,0.07473664120447066,230
12,11.0,0.07473664120447066,241
13,9.0,0.07473664120447066,250
14,9.0,0.07473664120447066,259
15,9.0,0.07473664120447066,268
16,9.0,0.07473664120447066,277
17,9.0,0.07473664120447066,286
18,10.0,0.07473664120447066,296
19,13.0,0.07473664120447066,309
20,10.0,0.07473664120447066,319
21,10.0,0.07473664120447066,329
22,10.0,0.07473664120447066,339
23,9.0,0.07473664120447066,348
24,17.0,0.07473664120447066,365
25,8.0,0.07473664120447066,373
26,9.0,0.07473664120447066,382
27,10.0,0.07473664120447066,392
28,9.0,0.07473664120447066,401
29,10.0,0.07473664120447066,411
30,10.0,0.07473664120447066,421
31,10.0,0.07473664120447066,431
32,8.0,0.07473664120447066,439
33,104.0,0.07473664120447066,543
34,22.0,0.07473664120447066,565
35,62.0,0.07473664120447066,627
36,18.0,0.07473664120447066,645
37,10.0,0.07473664120447066,655
38,10.0,0.07473664120447066,665
39,18.0,0.07473664120447066,683
40,9.0,0.07473664120447066,692
41,23.0,0.07473664120447066,715
42,10.0,0.07473664120447066,725
43,10.0,0.07473664120447066,735
44,11.0,0.07473664120447066,746
45,83.0,0.07473664120447066,829
46,13.0,0.07473664120447066,842
47,9.0,0.07473664120447066,851
48,10.0,0.07473664120447066,861
49,42.0,0.07473664120447066,903
50,9.0,0.07473664120447066,912
51,10.0,0.07473664120447066,922
52,11.0,0.07473664120447066,933
53,10.0,0.07473664120447066,943
54,10.0,0.07473664120447066,953
55,9.0,0.07473664120447066,962
56,10.0,0.07473664120447066,972
57,10.0,0.07473664120447066,982
58,9.0,0.07473664120447066,991
59,20.0,0.07473664120447066,1011
60,10.0,0.4714377740327269,1021
61,10.0,0.7892948198687285,1031
62,8.0,1.2281638729602098,1039
63,11.0,1.564149521292746,1050
64,10.0,1.8359771054014564,1060
65,9.0,2.1126359852284193,1069
66,9.0,2.2115253434091806,1078
67,10.0,2.46150904815197,1088
68,11.0,2.6965946081697942,1099
69,9.0,2.453901518458128,1108
