episode,score,q_value,men_len
0,15.0,0.22428261505583852,15
1,9.0,0.22428261505583852,24
2,11.0,0.22428261505583852,35
3,29.0,0.22428261505583852,64
4,10.0,0.22428261505583852,74
5,27.0,0.22428261505583852,101
6,21.0,0.22428261505583852,122
7,21.0,0.22428261505583852,143
8,32.0,0.22428261505583852,175
9,11.0,0.22428261505583852,186
10,9.0,0.22428261505583852,195
11,17.0,0.22428261505583852,212
12,30.0,0.22428261505583852,242
13,9.0,0.22428261505583852,251
14,15.0,0.22428261505583852,266
15,24.0,0.22428261505583852,290
16,10.0,0.22428261505583852,300
17,11.0,0.22428261505583852,311
18,9.0,0.22428261505583852,320
19,8.0,0.22428261505583852,328
20,8.0,0.22428261505583852,336
21,21.0,0.22428261505583852,357
22,18.0,0.22428261505583852,375
23,12.0,0.22428261505583852,387
24,13.0,0.22428261505583852,400
25,26.0,0.22428261505583852,426
26,14.0,0.22428261505583852,440
27,17.0,0.22428261505583852,457
28,8.0,0.22428261505583852,465
29,31.0,0.22428261505583852,496
30,18.0,0.22428261505583852,514
31,10.0,0.22428261505583852,524
32,12.0,0.22428261505583852,536
33,9.0,0.22428261505583852,545
34,13.0,0.22428261505583852,558
35,10.0,0.22428261505583852,568
36,12.0,0.22428261505583852,580
37,9.0,0.22428261505583852,589
38,10.0,0.22428261505583852,599
39,29.0,0.22428261505583852,628
40,9.0,0.22428261505583852,637
41,33.0,0.22428261505583852,670
42,9.0,0.22428261505583852,679
43,23.0,0.22428261505583852,702
44,10.0,0.22428261505583852,712
45,11.0,0.22428261505583852,723
46,9.0,0.22428261505583852,732
47,10.0,0.22428261505583852,742
48,10.0,0.22428261505583852,752
49,13.0,0.22428261505583852,765
50,32.0,0.22428261505583852,797
51,10.0,0.22428261505583852,807
52,17.0,0.22428261505583852,824
53,38.0,0.22428261505583852,862
54,11.0,0.22428261505583852,873
55,24.0,0.22428261505583852,897
56,12.0,0.22428261505583852,909
57,9.0,0.22428261505583852,918
58,10.0,0.22428261505583852,928
59,15.0,0.22428261505583852,943
60,18.0,0.22428261505583852,961
61,10.0,0.22428261505583852,971
62,37.0,0.22428261505583852,1000
63,9.0,0.3289931376390159,1000
64,10.0,0.44551868151426316,1000
65,9.0,0.5717149752043188,1000
66,9.0,0.6770575476512313,1000
67,10.0,0.7899763402104377,1000
68,8.0,0.9105199926987291,1000
69,9.0,1.0194145185589791,1000
70,9.0,1.138915429714322,1000
71,9.0,1.2462984633564949,1000
72,10.0,1.362080043527484,1000
73,10.0,1.5293415312051772,1000
74,9.0,1.6615706128180028,1000
75,10.0,1.781579546058178,1000
76,10.0,2.0619559260964393,1000
77,9.0,2.2162319036006926,1000
78,10.0,2.390231976735592,1000
79,9.0,2.5093085659742353,1000
80,10.0,2.6668805006027223,1000
81,10.0,2.711203024196625,1000
82,9.0,2.7998854200959205,1000
83,9.0,2.9414656992554664,1000
84,9.0,3.205666864693165,1000
85,10.0,3.4570495928287506,1000
86,9.0,3.745944652414322,1000
87,8.0,4.026359320402145,1000
88,9.0,4.293388343107701,1000
89,9.0,4.551984264135361,1000
90,10.0,4.8279699831485745,1000
91,10.0,5.195702856433392,1000
92,10.0,5.560454477131366,1000
93,9.0,5.9042550354242325,1000
94,9.0,6.189943342745304,1000
95,9.0,6.500152000164985,1000
96,9.0,6.726548199903965,1000
97,9.0,6.942832644581795,1000
98,9.0,7.159038518381119,1000
99,10.0,7.297517621207238,1000
100,9.0,7.325418023848534,1000
101,10.0,7.394473328626156,1000
102,9.0,7.371105806756019,1000
103,10.0,7.290169827282429,1000
104,10.0,7.040001404774189,1000
105,9.0,6.885210715126991,1000
106,9.0,6.635119072341919,1000
107,10.0,6.4216044090986255,1000
108,9.0,6.235024137890339,1000
109,12.0,6.218988653922081,1000
110,11.0,6.303309370708465,1000
111,8.0,6.342995106434822,1000
112,9.0,6.395034335625172,1000
113,10.0,6.562806133687496,1000
114,10.0,6.835445583820343,1000
115,9.0,7.07671403055191,1000
116,10.0,7.192592941617966,1000
117,10.0,7.636145694422722,1000
118,10.0,7.96451909866333,1000
119,8.0,8.249407945680618,1000
120,9.0,8.477201106762886,1000
121,8.0,8.597795269918441,1000
122,8.0,8.498893615722656,1000
123,10.0,8.6081213555336,1000
124,10.0,8.676459944105149,1000
125,8.0,8.708309029626847,1000
126,10.0,8.655053565907478,1000
127,8.0,8.577274885869025,1000
128,9.0,8.407376946020126,1000
129,8.0,8.245011136686802,1000
130,8.0,8.000412333250045,1000
131,10.0,7.888701163101196,1000
132,10.0,7.7197875042557715,1000
133,10.0,7.634758579397202,1000
134,10.0,7.579419356966019,1000
135,10.0,7.4611330139637,1000
136,9.0,7.405622198235989,1000
137,9.0,7.3699619347572325,1000
138,10.0,7.334987749487162,1000
139,9.0,7.313166147506237,1000
140,10.0,7.351484564334154,1000
141,10.0,7.325444382095337,1000
142,10.0,7.352151390981674,1000
143,8.0,7.470069388008118,1000
144,9.0,7.543542263376713,1000
145,10.0,7.44314374601841,1000
146,12.0,7.412432706809044,1000
147,10.0,7.4085482500910755,1000
148,10.0,7.392187115311622,1000
149,10.0,7.343174932485819,1000
150,10.0,7.307657628780603,1000
151,9.0,7.324635150516033,1000
