episode,score,q_value,men_len
0,9.0,-0.09224370676313318,9
1,10.0,-0.09224370676313318,19
2,9.0,-0.09224370676313318,28
3,10.0,-0.09224370676313318,38
4,10.0,-0.09224370676313318,48
5,9.0,-0.09224370676313318,57
6,9.0,-0.09224370676313318,66
7,9.0,-0.09224370676313318,75
8,10.0,-0.09224370676313318,85
9,10.0,-0.09224370676313318,95
10,9.0,-0.09224370676313318,104
11,10.0,-0.09224370676313318,114
12,9.0,-0.09224370676313318,123
13,10.0,-0.09224370676313318,133
14,9.0,-0.09224370676313318,142
15,10.0,-0.09224370676313318,152
16,10.0,-0.09224370676313318,162
17,11.0,-0.09224370676313318,173
18,9.0,-0.09224370676313318,182
19,9.0,-0.09224370676313318,191
20,10.0,-0.09224370676313318,201
21,9.0,-0.09224370676313318,210
22,10.0,-0.09224370676313318,220
23,9.0,-0.09224370676313318,229
24,10.0,-0.09224370676313318,239
25,10.0,-0.09224370676313318,249
26,10.0,-0.09224370676313318,259
27,12.0,-0.09224370676313318,271
28,10.0,-0.09224370676313318,281
29,9.0,-0.09224370676313318,290
30,10.0,-0.09224370676313318,300
31,9.0,-0.09224370676313318,309
32,9.0,-0.09224370676313318,318
33,10.0,-0.09224370676313318,328
34,17.0,-0.09224370676313318,345
35,9.0,-0.09224370676313318,354
36,8.0,-0.09224370676313318,362
37,12.0,-0.09224370676313318,374
38,10.0,-0.09224370676313318,384
39,9.0,-0.09224370676313318,393
40,9.0,-0.09224370676313318,402
41,8.0,-0.09224370676313318,410
42,10.0,-0.09224370676313318,420
43,12.0,-0.09224370676313318,432
44,9.0,-0.09224370676313318,441
45,9.0,-0.09224370676313318,450
46,9.0,-0.09224370676313318,459
47,10.0,-0.09224370676313318,469
48,11.0,-0.09224370676313318,480
49,10.0,-0.09224370676313318,490
50,11.0,-0.09224370676313318,501
51,11.0,-0.09224370676313318,512
52,10.0,-0.09224370676313318,522
53,9.0,-0.09224370676313318,531
54,10.0,-0.09224370676313318,541
55,8.0,-0.09224370676313318,549
56,10.0,-0.09224370676313318,559
57,8.0,-0.09224370676313318,567
58,9.0,-0.09224370676313318,576
59,10.0,-0.09224370676313318,586
60,10.0,-0.09224370676313318,596
61,11.0,-0.09224370676313318,607
62,10.0,-0.09224370676313318,617
63,10.0,-0.09224370676313318,627
64,9.0,-0.09224370676313318,636
65,8.0,-0.09224370676313318,644
66,10.0,-0.09224370676313318,654
67,10.0,-0.09224370676313318,664
68,10.0,-0.09224370676313318,674
69,10.0,-0.09224370676313318,684
70,10.0,-0.09224370676313318,694
71,9.0,-0.09224370676313318,703
72,9.0,-0.09224370676313318,712
73,9.0,-0.09224370676313318,721
74,8.0,-0.09224370676313318,729
75,10.0,-0.09224370676313318,739
76,8.0,-0.09224370676313318,747
77,9.0,-0.09224370676313318,756
78,10.0,-0.09224370676313318,766
79,10.0,-0.09224370676313318,776
80,9.0,-0.09224370676313318,785
81,9.0,-0.09224370676313318,794
82,10.0,-0.09224370676313318,804
83,9.0,-0.09224370676313318,813
84,9.0,-0.09224370676313318,822
85,10.0,-0.09224370676313318,832
86,8.0,-0.09224370676313318,840
87,9.0,-0.09224370676313318,849
88,8.0,-0.09224370676313318,857
89,10.0,-0.09224370676313318,867
90,9.0,-0.09224370676313318,876
91,10.0,-0.09224370676313318,886
92,9.0,-0.09224370676313318,895
93,10.0,-0.09224370676313318,905
94,10.0,-0.09224370676313318,915
95,9.0,-0.09224370676313318,924
96,10.0,-0.09224370676313318,934
97,9.0,-0.09224370676313318,943
98,12.0,-0.09224370676313318,955
99,11.0,-0.09224370676313318,966
100,8.0,-0.09224370676313318,974
101,9.0,-0.09224370676313318,983
102,10.0,-0.09224370676313318,993
103,10.0,-0.09224370676313318,1000
104,10.0,0.04898850330635905,1000
105,10.0,0.24157045178413392,1000
106,10.0,0.6868702086925507,1000
107,9.0,1.3002493461191653,1000
108,9.0,1.9840706619918347,1000
109,10.0,2.6995009170413016,1000
110,10.0,3.6794569262742995,1000
111,9.0,4.648681857681274,1000
112,9.0,5.286547875452041,1000
113,9.0,5.761471790385246,1000
114,9.0,6.313970880651474,1000
115,10.0,6.679815840435028,1000
116,8.0,6.84992117292881,1000
117,10.0,7.117976644897461,1000
118,10.0,7.401685887110233,1000
119,9.0,7.4494832295536995,1000
120,8.0,7.532956743788719,1000
121,10.0,7.545794907784462,1000
122,11.0,7.542545894598961,1000
123,8.0,7.692140061497688,1000
